src_image,page,page_width,page_height,cc_image,x,y,w,h,aspect,m00,n20,n11,n02,n30,n21,n12,n03,i1,i2,i3,i4,i5,i6,i7,i8,z00,z01,z02,z10,z11,z12,z20,z21,z22
"image_0180.png",1,3400,4944,"c00010_x1571_y0127.tif",1571,127,46,54,4.259259e-01,1.239000e+03,1.230142e-01,1.125095e-02,2.402723e-01,1.657663e-02,1.829254e-03,7.517424e-03,2.531418e-04,3.632864e-01,1.425579e-02,6.310960e-05,5.848596e-04,-3.856468e-08,-6.530458e-05,9.319424e-08,1.236588e-05,6.851852e-01,4.222222e-01,5.451389e-01,5.555556e-01,6.222222e-01,3.125000e-02,6.259259e-01,4.185185e-01,6.041667e-01
"image_0180.png",1,3400,4944,"c00011_x1649_y0127.tif",1649,127,44,54,4.074074e-01,1.089000e+03,1.101730e-01,-5.957141e-02,2.361178e-01,2.612027e-02,-2.051597e-02,-1.450358e-02,3.772118e-02,3.462908e-01,3.005712e-02,1.470283e-02,4.309666e-04,-1.384807e-06,-2.733940e-05,7.380984e-07,3.476756e-05,6.944444e-01,5.039683e-01,6.180556e-01,5.714286e-01,7.142857e-01,8.333333e-02,7.063492e-01,3.253968e-01,3.472222e-03
"image_0180.png",1,3400,4944,"c00012_x1699_y0127.tif",1699,127,46,54,4.259259e-01,1.132000e+03,1.362486e-01,7.081864e-03,2.588441e-01,1.160606e-02,-1.680234e-02,4.964130e-03,1.823881e-02,3.950927e-01,1.523027e-02,4.723050e-03,2.766345e-04,-8.020764e-09,-3.273394e-05,-3.013974e-07,4.847955e-06,7.851852e-01,2.888889e-01,6.180556e-01,6.000000e-01,7.407407e-02,4.097222e-01,4.296296e-01,4.740741e-01,4.166667e-01
"image_0180.png",1,3400,4944,"c00013_x1748_y0127.tif",1748,127,46,54,4.259259e-01,1.251000e+03,1.207536e-01,-1.097061e-03,1.891993e-01,8.958071e-04,-3.487237e-04,-7.978003e-03,1.094955e-02,3.099529e-01,4.689620e-03,7.604171e-04,1.625350e-04,-9.006196e-09,4.588148e-06,-3.440750e-08,-5.070444e-06,7.111111e-01,4.296296e-01,5.763889e-01,4.222222e-01,6.296296e-01,5.069444e-01,6.000000e-01,1.370370e-01,5.138889e-01
"image_0180.png",1,3400,4944,"c00014_x1798_y0127.tif",1798,127,44,55,4.000000e-01,1.045000e+03,1.795265e-01,-1.783119e-03,2.880910e-01,2.353010e-02,-2.311440e-04,3.792908e-02,-8.289748e-04,4.676175e-01,1.179896e-02,8.146371e-03,3.778354e-03,1.951090e-06,-4.094863e-04,-1.052709e-06,-1.380666e-05,5.238095e-01,4.007937e-01,6.076389e-01,8.333333e-01,0.000000e+00,1.041667e-02,5.488722e-01,3.609023e-01,5.986842e-01
"image_0180.png",1,3400,4944,"c00015_x1849_y0127.tif",1849,127,49,55,4.454545e-01,1.064000e+03,1.219214e-01,3.169080e-03,2.688378e-01,-5.709060e-04,-3.689647e-02,-2.613846e-03,8.191089e-02,3.907592e-01,2.162460e-02,3.714773e-02,2.036441e-03,1.774035e-05,2.943891e-04,-3.069262e-06,-2.745126e-05,6.388889e-01,7.638889e-01,5.882353e-01,1.388889e-02,6.840278e-01,2.287582e-02,7.236842e-02,7.434211e-01,7.430341e-02
"image_0180.png",1,3400,4944,"c00016_x1900_y0128.tif",1900,128,22,54,2.037037e-01,6.850000e+02,2.862772e-02,-3.369535e-03,4.318866e-01,-9.926123e-07,-8.061537e-05,1.055788e-03,-7.015082e-03,4.605144e-01,1.626632e-01,5.591521e-05,5.146152e-05,2.611728e-09,1.995587e-05,-1.429599e-11,-2.852291e-06,4.047619e-01,9.444444e-01,5.486111e-01,1.269841e-01,1.000000e+00,2.708333e-01,4.523810e-01,9.523810e-01,5.416667e-01
"image_0180.png",1,3400,4944,"c00017_x1926_y0128.tif",1926,128,47,55,4.272727e-01,1.272000e+03,1.702799e-01,-2.645792e-04,1.893454e-01,1.142682e-03,2.023645e-04,-2.142263e-04,6.334509e-04,3.596253e-01,3.637727e-04,3.188207e-06,1.560616e-06,5.133613e-13,-3.937371e-09,-2.786396e-12,1.475190e-08,5.592593e-01,4.074074e-01,5.163399e-01,7.814815e-01,0.000000e+00,6.895425e-01,5.543860e-01,3.719298e-01,5.170279e-01
"image_0180.png",1,3400,4944,"c00018_x1976_y0128.tif",1976,128,46,53,4.339623e-01,1.299000e+03,1.216136e-01,-5.118717e-03,1.865144e-01,-7.936551e-05,4.792896e-04,-7.958209e-03,1.114736e-02,3.081279e-01,4.316915e-03,6.604888e-04,1.997817e-04,-1.313855e-08,6.493846e-06,-4.282700e-08,-5.703723e-06,7.333333e-01,4.509804e-01,6.617647e-01,4.117647e-01,6.470588e-01,5.183824e-01,6.491228e-01,1.684211e-01,5.690789e-01
"image_0180.png",1,3400,4944,"c00019_x2026_y0128.tif",2026,128,36,54,3.333333e-01,1.028000e+03,9.873518e-02,-1.858494e-03,2.474539e-01,-1.036090e-03,5.934486e-03,-2.960067e-03,-1.099366e-04,3.461890e-01,2.213106e-02,3.824198e-04,4.989466e-05,1.844626e-09,2.843440e-06,5.503627e-09,-3.428178e-06,5.462963e-01,3.750000e-01,5.370370e-01,3.888889e-01,6.666667e-01,5.925926e-01,6.712963e-01,3.564815e-01,6.250000e-01
