src_image,page,page_width,page_height,cc_image,x,y,w,h,aspect,m00,n20,n11,n02,n30,n21,n12,n03,i1,i2,i3,i4,i5,i6,i7,i8
"image_0168.png",1,3400,4944,"c00394_x1466_y3656.tif",1466,3656,24,36,3.333333e-01,5.170000e+02,7.298443e-02,-3.041500e-04,2.300924e-01,-2.481241e-03,2.788301e-03,-2.891589e-03,-1.048322e-02,3.030768e-01,2.468329e-02,3.936113e-04,8.807902e-05,1.292504e-08,4.717051e-06,1.637076e-08,6.504619e-06
"image_0168.png",1,3400,4944,"c00395_x1072_y3662.tif",1072,3662,45,11,8.777778e-01,3.590000e+02,4.674824e-01,-2.072975e-03,1.630132e-02,3.430041e-02,-4.382457e-03,-2.208162e-03,2.161537e-05,4.837837e-01,2.035816e-01,1.848269e-03,1.048929e-03,1.510165e-06,4.572573e-04,1.368691e-07,6.104687e-05
"image_0168.png",1,3400,4944,"c00396_x0025_y3703.tif",25,3703,3,65,2.307692e-02,1.090000e+02,2.586815e-03,3.080472e-02,2.764678e+00,8.468690e-05,1.114446e-03,-3.072563e-02,-1.422892e+00,2.767265e+00,7.632943e+00,2.042658e+00,2.022389e+00,4.111280e+00,5.586205e+00,1.831952e-04,5.808811e-02
"image_0168.png",1,3400,4944,"c00397_x0027_y3822.tif",27,3822,2,21,4.761905e-02,3.000000e+01,7.000000e-03,-6.222222e-03,9.376296e-01,-5.112077e-04,4.544069e-04,3.667442e-02,-1.062302e-01,9.446296e-01,8.662264e-01,2.379422e-02,1.249630e-02,1.354727e-04,9.290520e-03,-4.056896e-05,-3.498358e-03
"image_0168.png",1,3400,4944,"c00398_x1442_y3920.tif",1442,3920,18,35,2.571429e-01,3.640000e+02,3.381458e-02,2.141483e-02,3.119728e-01,5.659688e-04,4.470504e-03,-5.716889e-03,-1.643812e-02,3.457874e-01,7.920639e-02,1.204879e-03,1.697557e-04,1.546873e-07,3.773917e-05,4.849315e-08,1.464791e-05
"image_0168.png",1,3400,4944,"c00399_x1443_y3921.tif",1443,3921,46,68,3.382353e-01,3.940000e+02,4.137187e-01,-6.252191e-01,9.631020e-01,-4.460258e-02,6.796710e-02,-1.010259e-01,1.461144e-01,1.376821e+00,1.865418e+00,7.014877e-02,6.703857e-02,-3.486060e-04,9.149586e-02,-5.933724e-06,-1.732857e-03
"image_0168.png",1,3400,4944,"c00400_x1794_y3923.tif",1794,3923,34,59,2.881356e-01,7.520000e+02,4.825414e-02,5.290643e-02,5.080786e-01,-1.787848e-04,8.385970e-03,-1.644272e-02,-3.009070e-02,5.563328e-01,2.226349e-01,5.468071e-03,7.473698e-04,4.652215e-06,1.659306e-04,1.425750e-06,1.555815e-04
"image_0168.png",1,3400,4944,"c00401_x1909_y3923.tif",1909,3923,37,58,3.189655e-01,9.360000e+02,1.028683e-01,-9.229465e-03,3.859686e-01,-6.542302e-03,-6.989182e-03,-1.710986e-02,4.475831e-02,4.888369e-01,8.048649e-02,6.325788e-03,1.985932e-03,1.211744e-06,2.784507e-04,-6.208990e-06,-2.448968e-04
"image_0168.png",1,3400,4944,"c00402_x0027_y3928.tif",27,3928,2,22,4.545455e-02,3.100000e+01,7.049109e-03,-4.581921e-02,1.184922e+00,-4.492461e-04,2.920100e-03,1.699648e-02,-5.781798e-01,1.191971e+00,1.395781e+00,3.471446e-01,3.311975e-01,1.122606e-01,3.912080e-01,1.285582e-04,3.937999e-03
"image_0168.png",1,3400,4944,"c00403_x1950_y3941.tif",1950,3941,43,53,4.056604e-01,9.010000e+02,1.538638e-01,-6.339315e-02,1.818996e-01,1.421568e-02,1.298415e-02,-1.561101e-02,-3.840905e-03,3.357634e-01,1.686078e-02,5.558218e-03,8.554595e-05,6.610420e-08,5.524242e-06,5.826241e-08,4.818500e-06
"image_0168.png",1,3400,4944,"c00404_x1240_y3949.tif",1240,3949,41,54,3.796296e-01,9.380000e+02,1.340909e-01,-5.624195e-02,1.989405e-01,1.518357e-02,8.601861e-03,-1.830570e-02,4.127916e-03,3.330315e-01,1.685809e-02,5.384027e-03,1.717949e-04,9.320006e-08,1.881768e-05,1.507525e-07,5.988238e-06
"image_0168.png",1,3400,4944,"c00405_x1129_y3950.tif",1129,3950,40,40,5.000000e-01,6.830000e+02,1.845169e-01,-4.542648e-02,1.559103e-01,4.557740e-02,-2.853263e-02,-1.372863e-02,6.083373e-03,3.404272e-01,9.072599e-03,1.593332e-02,1.518314e-03,7.544241e-06,1.445165e-04,6.398367e-06,-2.731372e-06
"image_0168.png",1,3400,4944,"c00406_x1588_y3950.tif",1588,3950,41,54,3.796296e-01,9.180000e+02,1.383580e-01,-5.627102e-02,1.968230e-01,1.298522e-02,9.164548e-03,-1.838040e-02,3.174109e-03,3.351811e-01,1.608387e-02,5.232648e-03,1.813504e-04,2.247912e-07,2.218274e-05,1.106770e-07,3.036933e-06
"image_0168.png",1,3400,4944,"c00407_x1843_y3954.tif",1843,3954,46,11,8.804348e-01,3.980000e+02,4.250380e-01,1.094428e-03,1.727718e-02,2.258403e-02,2.312682e-03,-1.078834e-03,-1.282435e-05,4.423152e-01,1.662737e-01,7.150142e-04,4.677627e-04,2.769097e-07,1.866382e-04,-1.531733e-08,-1.966704e-05
"image_0168.png",1,3400,4944,"c00408_x1467_y3956.tif",1467,3956,26,36,3.611111e-01,5.320000e+02,7.361240e-02,-3.008087e-03,2.272632e-01,-3.323978e-03,5.007718e-03,-4.834886e-03,-1.483667e-02,3.008756e-01,2.364476e-02,1.016617e-03,1.631754e-04,6.957098e-08,3.650951e-06,6.571990e-08,1.241210e-05
"image_0168.png",1,3400,4944,"c00409_x1525_y3956.tif",1525,3956,46,12,8.695652e-01,3.890000e+02,4.476259e-01,4.961261e-03,1.716058e-02,4.683104e-02,-4.303686e-03,-2.251286e-03,-1.603781e-04,4.647865e-01,1.853989e-01,3.033922e-03,2.007283e-03,5.043942e-06,8.429599e-04,3.257230e-07,9.542649e-05
